"site","year","daynum.tenth","daynum.median","daynum.nintieth","daynum.mean","daynum.range"
14,2006,90,103,115,104.229064407415,25
14,2007,74,105,133,106.481947605911,59
14,2008,81,118,146,118.181335154109,65
14,2009,87,102,133,106.787595807396,46
14,2011,53,102,154,105.505792287476,101
14,2013,65,108,150,111.026643828699,85
14,2014,88,112,130,113.838640214034,42
14,2015,58,102,152,106.632700977815,94
15,1976,53,81,102,81.3034037750993,49
15,1977,108,123,137,127.189464442255,29
15,1978,95,113,135,116.818135416039,40
15,1979,92,106,137,112.458833951783,45
15,1980,83,102,131,109.512959869328,48
15,1981,103,116,131,118.356926798183,28
15,1982,81,102,116,104.896506191807,35
15,1983,92,102,122,106.899417573224,30
15,1984,82,98,121,104.909445697348,39
15,1985,94,102,123,106.955238262631,29
15,1986,91,113,131,115.414043641979,40
15,1987,88,110,128,110.546937541347,40
15,1988,81,109,130,110.237045593056,49
15,1989,82,91,109,95.8660167021523,27
15,1990,83,94,109,97.5564835250647,26
15,1991,101,112,136,119.314929819943,35
15,1992,86,102,122,105.840013214343,36
15,1993,88,102,121,108.175336371933,33
15,1994,89,103,120,107.647423570695,31
15,1995,90,100,125,106.784169363118,35
15,1996,95,111,130,114.188309755306,35
15,1997,95,116,128,116.608443548952,33
15,1998,89,102,124,108.129342811873,35
15,1999,95,108,120,110.821637337114,25
15,2000,86,100,123,103.509950264085,37
15,2001,96,111,132,113.931311197397,36
15,2002,80,104,119,104.696135890949,39
15,2003,82,100,118,103.608856603118,36
15,2004,75,97,125,101.126106290858,50
15,2005,83,109,124,108.07485810194,41
15,2006,81,94,109,97.6261687140424,28
15,2007,81,98,115,101.869683227506,34
15,2008,74,94,115,100.026085242367,41
15,2009,84,95,106,100.982082353008,22
15,2011,75,102,121,102.913427948094,46
15,2013,96,108,123,112.372232723238,27
15,2014,75,99,130,104.781383659625,55
15,2015,79,102,123,106.625703184502,44
16,1976,85,101,120,105.76024485311,35
16,1977,106,133,150,133.368908723607,44
16,1978,89,123,152,124.441280165806,63
16,1979,108,132,149,133.11557695136,41
16,1980,102,138,155,137.660252966985,53
16,1981,118,136,149,139.314973801493,31
16,1982,99,123,150,127.324465347084,51
16,1983,110,123,148,128.370226859744,38
16,1984,94,122,151,125.064455456099,57
16,1985,109,130,163,136.437645488223,54
16,1986,109,144,164,143.261109550394,55
16,1987,97,121,157,126.036106673428,60
16,1989,80,108,130,110.749277255528,50
16,1990,88,115,137,117.637185745861,49
16,1992,90,115,136,119.364976114176,46
16,1993,86,123,142,120.374808480181,56
16,1994,92,113,143,120.315310512776,51
16,1995,85,114,136,115.73549883839,51
16,1996,104,121,149,124.079243142561,45
16,1997,111,131,141,131.051109217015,30
16,1998,96,127,151,129.948979592574,55
16,1999,93,123,142,122.730403115989,49
16,2000,103,128,156,129.295163784655,53
