"year","site","daynum.tenth","daynum.median","daynum.nintieth","daynum.mean","daynum.range","buffer","Surv","POINT_X","POINT_Y","EASTNESS_MEAN","EASTNESS_STD","SLOPE_MEAN","SLOPE_STD","NORTHNESS_MEAN","NORTHNESS_STD","DEM_MEAN","DEM_STD","shannon.soil","dom.soil.type","joint.dom.soil.type","A","BgRo","Br","BW","C","CW","F","G","H","M","S","R","UG","NP_A","NP_BgRo","NP_Br","NP_BW","NP_C","NP_CW","NP_F","NP_G","NP_H","NP_M","NP_S","NP_R","NP_UG","ED_A","ED_BgRo","ED_Br","ED_BW","ED_C","ED_CW","ED_F","ED_G","ED_H","ED_M","ED_S","ED_R","ED_UG","SHP_A","SHP_BgRo","SHP_Br","SHP_BW","SHP_C","SHP_CW","SHP_F","SHP_G","SHP_H","SHP_M","SHP_S","SHP_R","SHP_UG","end.lcm","LC","LM","NG","UDG","NP_LC","SHP_LC","ED_LC","NP_LM","SHP_LM","ED_LM","NP_UDG","SHP_UDG","ED_UDG","NP_NG","SHP_NG","ED_NG","LCper","DJF","MAM","JJA","SON","AV"
1976,18,76,86,97,90.2462569542634,21,500,"UKBMS",531540,275563,-0.34,0.59,1.04,0.7,-0.46,0.57,15.47591069,12.20404007,0,18,NA,768750,0,0,1875,0,0,0,19375,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2535,0,0,1,0,0,0,1.1667,0,0,0,0,0,NA,0,0,790000,0,1,1.1111,0,0,0,0,0,0,0,0,0,0,0,5.2,8.3,17.8,10.1,10.35
1976,30,81,101,123,103.995663796483,42,500,"UKBMS",472285,196060,-0.48,0.51,9.29,5.04,0.44,0.56,130.884269,49.33828147,0,1,NA,173125,0,0,0,0,0,0,584375,0,0,0,0,32500,3,0,0,0,0,0,0,1,0,0,0,0,1,191.9867,0,0,0,0,0,0,0,0,0,0,0,0,1.4808,0,0,0,0,0,0,2.1129,0,0,0,0,1.2667,NA,111250,0,790000,0,2,2.2821,141.4214,0,0,0,0,0,0,0,0,0,14.1647899351787,5.2,8.3,17.8,10.1,10.35
1976,6,85,107,120,106.098133531112,35,500,"UKBMS",278217,78790,0.39,0.58,10.44,5.23,0.04,0.71,193.3756104,117.286616,0,15,NA,0,0,0,450625,0,0,0,291250,0,0,0,0,48125,0,0,0,4,0,0,0,2,0,0,0,0,2,0,0,0,85.648,0,0,0,145.7738,0,0,0,0,610.3278,0,0,0,1.4439,0,0,0,1.9226,0,0,0,0,1.3077,NA,0,0,790000,0,1,1.1111,0,0,0,0,0,0,0,0,0,0,0,5.2,8.3,17.8,10.1,10.35
1976,15,53,81,102,81.3034037750993,49,500,"UKBMS",425163,220469,0.33,0.59,1.49,1.09,0.1,0.73,151.244757,32.40224404,0,25,NA,376250,0,0,312500,0,7500,0,51875,0,0,0,41875,0,2,0,0,3,0,1,0,3,0,0,0,4,0,50,0,0,51.9672,0,0,0,478.4707,0,0,0,107.3861,0,1.9184,0,0,1.4167,0,1.4286,0,1.3651,0,0,0,1.1903,0,NA,0,0,790000,0,1,1.1111,0,0,0,0,0,0,0,0,0,0,0,5.2,8.3,17.8,10.1,10.35
1976,9,85,118,137,115.381673181892,52,500,"UKBMS",482183,110513,0.27,0.68,9.77,5.67,-0.54,0.42,70.05014563,53.34407039,0,1,NA,283750,0,0,208750,0,81250,0,216250,0,0,0,0,0,3,0,0,3,0,2,0,1,0,0,0,0,0,106.064,0,0,97.3603,0,201.5564,0,0,0,0,0,0,0,1.4623,0,0,1.7892,0,1.9034,0,2.7368,0,0,0,0,0,NA,0,0,790000,38125,1,1.1111,0,0,0,0,1,1.375,0,0,0,0,0,5.2,8.3,17.8,10.1,10.35
1977,39,102,119,133,118.483540595955,31,500,"UKBMS",547194,391189,-0.34,0.84,0.16,0.12,-0.09,0.4,6.508778698,2.185272899,0,9,NA,494375,0,0,30000,220625,0,0,40000,0,0,0,0,5000,2,0,0,2,1,0,0,1,0,0,0,0,4,175,0,0,807.7747,0,0,0,0,0,0,0,0,141.5569,1.4947,0,0,1.25,1.5263,0,0,1.4375,0,0,0,0,1,NA,0,12500,790000,21875,1,1.1111,0,1,1.8889,0,1,1.5833,0,0,0,0,0,3.3,8.2,14.4,10.6,9.125
1977,22,102,119,134,119.894611232227,32,500,"UKBMS",266763,341440,0.05,0.57,12.33,10.33,-0.61,0.55,274.4757875,164.5612631,0,17,NA,141875,0,0,186250,0,10625,0,451250,0,0,0,0,0,3,0,0,2,0,2,0,4,0,0,0,0,0,184.5178,0,0,309.2329,0,719.809,0,73.9277,0,0,0,0,0,1.2817,0,0,2.4071,0,1.125,0,1.5893,0,0,0,0,0,NA,0,0,790000,0,1,1.1111,0,0,0,0,0,0,0,0,0,0,0,3.3,8.2,14.4,10.6,9.125
1977,20,74,96,123,102.866322978436,49,500,"UKBMS",600875,134675,-0.25,0.68,3.34,1.52,-0.44,0.54,28.87975031,22.19854319,0,25,NA,205625,0,0,173750,0,24375,0,210000,0,0,0,66875,109375,3,0,0,4,0,2,0,7,0,0,0,2,1,180.5159,0,0,211.5092,0,200,0,87.1853,0,0,0,75,0,1.7,0,0,1.3368,0,1.2722,0,1.449,0,0,0,1.5333,2.3704,NA,0,0,790000,0,1,1.1111,0,0,0,0,0,0,0,0,0,0,0,3.3,8.2,14.4,10.6,9.125
1977,7,94,107,134,115.596127681542,40,500,"UKBMS",346938,189701,0.46,0.43,3.14,2.81,0.26,0.74,78.48621163,74.7313439,0,6,NA,15625,0,0,31250,0,0,0,598750,0,0,0,0,144375,1,0,0,3,0,0,0,1,0,0,0,0,5,0,0,0,280.136,0,0,0,0,0,0,0,0,160.2184,1.8,0,0,1.2626,0,0,0,2.2258,0,0,0,0,1.3654,NA,0,0,790000,0,1,1.1111,0,0,0,0,0,0,0,0,0,0,0,3.3,8.2,14.4,10.6,9.125
1977,41,110,127,139,126.793094810124,29,500,"UKBMS",316220,698929,-0.26,0.6,13.04,7.76,0.64,0.41,153.1052206,65.7156482,0,17,NA,0,33125,0,0,0,0,0,0,287500,469375,0,0,0,0,1,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,71.1803,0,0,0,0,1.9333,0,0,0,0,0,0,2,1.3622,0,0,0,NA,0,0,790000,0,1,1.1111,0,0,0,0,0,0,0,0,0,0,0,3.3,8.2,14.4,10.6,9.125
