SITENO,GRIDREF,EAST,NORTH,LATITUDE,LONGITUDE,LENGTH,COUNTRY,COUNTY,HABITAT1,HABITAT2
149,SS800810,280000,181000,51.5146806620172,-3.72956993613749,4407,Wales,Mid Glamorgan,Coastal dune grassland,6
150,J6043,169672,496353,54.3105698987072,-5.5412594522369,,Northern Ireland,Northern Ireland,Missing,
151,SN410490,241000,249000,52.1160127670839,-4.32246434348955,1637,Wales,Dyfed,Dry semi/unimproved acid grassland,24
152,SN130390,213000,239000,52.0174387655125,-4.72551004240678,4015,Wales,Dyfed,Mature coniferous woodland,
153,NS01903820,201900,638200,55.5970392212193,-5.14456167817706,1801,Scotland,Strathclyde,Dry semi/unimproved (flower rich) neutral grassland,
154,TG420220,642000,322000,52.7410177109549,1.58555681353866,1680,England,Norfolk,Fen/swamp/marsh vegetation of inland freshwater edges,-2
155,SP620100,462000,210000,51.7847708866933,-1.10108452707405,3260,England,Buckinghamshire,Mature mixed broadleaved and coniferous woodland,
156,TR100510,610000,151000,51.2189972968501,1.00751140053552,1462,England,Kent,Mature broadleaved woodland,28
157,SJ480360,348000,336000,52.9185808037259,-2.77346973752208,3500,Wales,Clwyd,Acid bog/mire habitats,22
158,ST880170,388000,117000,50.9517604143422,-2.17085357802625,3809,England,Dorset,Dry semi/unimproved (flower rich) chalk/limestone grassland,30
159,SK660440,466000,344000,52.9889546297276,-1.01668842104065,2534,England,Nottinghamshire,Wet Willow scrub of fen, river and lake side,
160,NX920700,292000,570000,55.0127437651512,-3.68911242478961,3500,Scotland,Dumfries and Galloway,Mature mixed broadleaved and coniferous woodland,-2
161,NZ33203270,433200,532700,54.6881409673527,-1.48492957266982,2225,England,County Durham,Dry semi/unimproved (flower rich) chalk/limestone grassland,22
162,SW570400,157000,40000,50.2094089337779,-5.4061811418576,,England,Cornwall and Isles of Scilly,Coastal dune grassland,
163,NT250700,325000,670000,55.9172729572781,-3.20013016534099,3206,Scotland,Lothian,Dry semi/unimproved (flower rich) neutral grassland,-2
164,NX430620,243000,562000,54.9278680731063,-4.45042888257593,,Scotland,Dumfries and Galloway,Dry semi/unimproved (flower rich) neutral grassland,
165,NK010260,401000,826000,57.3247537481031,-1.98339198519731,3655,Scotland,Grampian,Coastal dune grassland,3
166,SH760830,276000,383000,53.3290974110635,-3.86216399576274,4476,Wales,Gwynedd,Dry semi/unimproved (flower rich) chalk/limestone grassland,23
167,NN470870,247000,787000,56.9490742222177,-4.51574339824985,3156,Scotland,Highland,Wet and dry heathland/ dry heather moorland,31
168,SK780020,478000,302000,52.6098169994874,-0.847961918507299,2245,England,Leicestershire,Intensive arable crops,38
169,SK780020,478000,302000,52.6098169994874,-0.847961918507299,2240,England,Leicestershire,Intensive arable crops,38
170,TL670070,567000,207000,51.7363360873705,0.418826716151253,3666,England,Essex,Intensive arable crops,17
171,TL680070,568000,207000,51.7360372220714,0.433296667188935,2448,England,Essex,Intensive arable crops,17
172,TL320630,532000,263000,52.2489281571029,-0.0661978708545394,2879,England,Cambridgeshire,Intensive arable crops,25
173,TL320630,532000,263000,52.2489281571029,-0.0661978708545394,2574,England,Cambridgeshire,Intensive arable crops,25
174,NT910670,391000,667000,55.8960773917864,-2.1439332465961,4068,Scotland,Borders,Dry semi/unimproved (flower rich) chalk/limestone grassland,9
175,NX920690,292000,569000,55.0037604611093,-3.68873485442751,2661,Scotland,Dumfries and Galloway,Mature mixed broadleaved and coniferous woodland,
176,TM450580,645000,258000,52.1653802332443,1.58293558453761,4182,England,Suffolk,Dry semi/unimproved acid grassland,16
177,NS89507870,289500,678700,55.9885700783315,-3.77150158684877,3346,Scotland,Central,Mature mixed broadleaved and coniferous woodland,17
178,TR190380,619000,138000,51.0988816724723,1.12828986191535,1304,England,Kent,Dry semi/unimproved (flower rich) chalk/limestone grassland,22
179,TL320630,532000,263000,52.2489281571029,-0.0661978708545394,2900,England,Cambridgeshire,Intensive arable crops,18
180,NS43903960,243900,639600,55.6248851343817,-4.47945692776839,2366,Scotland,Strathclyde,Mature broadleaved woodland,-2
181,SX06506650,206500,66500,50.4657519976582,-4.72687003237195,1764,England,Cornwall and Isles of Scilly,Dry semi/unimproved acid grassland,31
182,NN000450,200000,745000,56.5544185800524,-5.2545142389868,,Scotland,Strathclyde,Bracken dominated glades or hillsides,
183,SP030920,403000,292000,52.5255019610872,-1.95577651335021,3090,England,West Midlands,Bare ground/weed communities of post industrial sites e.g. quarries/pits/road/rail/landfill sites,-2
184,TL760720,576000,272000,52.3174563695389,0.582481592099742,3315,England,Suffolk,Wet and dry heathland/ dry heather moorland,14
186,NM84107360,184100,773600,56.8038612792496,-5.53669763843336,1815,Scotland,Highland,Wet and dry heathland/ dry heather moorland,Bare ground/sparse vegetation of inland freshwater edges
187,SS480190,248000,119000,50.9498186233642,-4.16416017434168,2400,England,Devon,Dry semi/unimproved (flower rich) neutral grassland,17
188,SZ240990,424000,99000,50.7895058204603,-1.65947679444279,,England,Hampshire,Mature broadleaved woodland,
190,NO500279,350000,727900,56.4407289223417,-2.81103760765904,2900,Scotland,Fife,2,3
191,NO500270,350000,727000,56.4326431299428,-2.81086545716415,,Scotland,Fife,,
192,NO46302680,346300,726800,56.4304397948784,-2.87082086679047,2900,Scotland,Fife,17,32
193,SZ17809040,417800,90400,50.7123846949014,-1.74786005272914,3803,England,Dorset,23,3
194,SM73500500,173500,205000,51.6975030145005,-5.2780028409998,,Wales,Dyfed,,
195,NO500270,350000,727000,56.4326431299428,-2.81086545716415,1700,Scotland,Fife,Coastal dune grassland,Coastal dune and sand heath
196,NO500279,350000,727900,56.4407289223417,-2.81103760765904,2900,Scotland,Fife,,
500,SU03502100,403500,121000,50.9878480262556,-1.9501290904674,,England,Wiltshire,Missing,
501,ST040180,304000,118000,50.9528799583237,-3.36688766985738,1529,England,Hampshire,Dry semi/unimproved (flower rich) chalk/limestone grassland,-2
989,NO650800,365000,780000,56.9101633274181,-2.57482726356596,,Scotland,Grampian,Wet and dry heathland/ dry heather moorland,
990,SH620540,262000,354000,53.0650941108603,-4.05973404585672,2265,Wales,Gwynedd,Dry semi/unimproved acid grassland,17
991,SU240350,424000,135000,51.1132607234456,-1.65710280088216,2700,England,Wiltshire,Dry semi/unimproved (flower rich) chalk/limestone grassland,26
992,NT840200,384000,620000,55.4735478138548,-2.25313751821468,1287,Scotland,Borders,Dry semi/unimproved acid grassland,18
993,NY75203320,375200,533200,54.6931184644617,-2.38479773427693,1919,England,Cumbria,Acid bog/mire habitats,16
994,SP470100,447000,210000,51.7862323941401,-1.3185448338822,4794,England,Oxfordshire,Intensive arable crops,26
995,SX660985,266000,98500,50.7700207302523,-3.90053181528461,4738,England,Devon,Agriculturally improved/re-seeded/ heavily fertilised grassland,25
996,J2457,134989,513366,54.4462880542224,-6.08825281904988,,Northern Ireland,County Down,Mature mixed broadleaved and coniferous woodland,
997,NO660780,366000,778000,56.8922697369482,-2.55813647771619,5135,Scotland,Grampian,Dry semi/unimproved acid grassland,
998,SP16305540,416300,255400,52.1961916836676,-1.76149857416653,2167,England,Warwickshire,Agriculturally improved/re-seeded/ heavily fertilised grassland,35
999,SU800400,480000,140000,51.1531346615768,-0.856009854721657,1930,England,Hampshire,Mature broadleaved woodland,
1001,SU38203480,438200,134800,51.110691325739,-1.4542511705315,1500,England,Hampshire,Dry semi/unimproved (flower rich) chalk/limestone grassland,Dry scrub/shrub thickets
1004,SU460020,446000,102000,50.8151561144855,-1.34697102723627,2190,England,Hampshire,Wet and dry heathland/ dry heather moorland,Dry scrub/shrub thickets
1005,SU60302270,460300,122700,50.9999863371446,-1.14056466046294,1400,England,Hampshire,Dry semi/unimproved (flower rich) chalk/limestone grassland,Dry scrub/shrub thickets
1006,SU79404280,479400,142800,51.1783937559721,-0.863969608701646,950,England,Hampshire,Seasonally wet and wet marshy grasslands,Dry scrub/shrub thickets
1007,SZ57607850,457600,78500,50.6027871732876,-1.18597829444877,650,England,Isle of Wight,Dry semi/unimproved (flower rich) chalk/limestone grassland,Dry scrub/shrub thickets
1008,SU29403270,429400,132700,51.0923254344269,-1.58014035567986,2000,England,Hampshire,Dry semi/unimproved (flower rich) chalk/limestone grassland,Dry scrub/shrub thickets
1009,SU54701810,454700,118100,50.9591807589703,-1.22106370945164,1600,England,Hampshire,Dry semi/unimproved (flower rich) neutral grassland,Bare ground/weed communities of post industrial sites e.g. quarries/pits/road/rail/landfill sites
1010,SU68200440,468200,104400,50.8345482400683,-1.03140733735785,1420,England,Hampshire,Seasonally wet and wet marshy grasslands,Dry scrub/shrub thickets
