"SITENO"	"GRIDREF"	"EAST"	"NORTH"
"2618"	"NS61405830"	"261400"	"658300"
"3104"	"TL93505810"	"593500"	"258100"
"1431"	"TQ46703230"	"546700"	"132300"
"1957"	"TQ15309420"	"515300"	"194200"
"3300"	"TL960957"	"596000"	"295700"
"1142"	"SD54107910"	"354100"	"479100"
"1532"	"TQ530608"	"553000"	"160800"
"1533"	"TQ52806130"	"552800"	"161300"
"2045"	"TQ23906190"	"523900"	"161900"
"2048"	"TQ37606210"	"537600"	"162100"
"3216"	"TQ93208450"	"593200"	"184500"
"3217"	"TM06501850"	"606500"	"218500"
"3218"	"TQ720875"	"572000"	"187500"
"3405"	"SD80906950"	"380900"	"469500"
"3406"	"SE580480"	"458000"	"448000"
"2925"	"NZ45704070"	"445700"	"540700"
"2926"	"NZ45704070"	"445700"	"540700"
"2049"	"TQ17905920"	"517900"	"159200"
"2927"	"NZ25104930"	"425100"	"549300"
"3220"	"TL96301460"	"596300"	"214600"
"3105"	"TL75807280"	"575800"	"272800"
"2385"	"SP44206480"	"444200"	"264800"
"3404"	"SE580090"	"458000"	"409000"
"1959"	"TQ10307600"	"510300"	"176000"
"1961"	"TQ150790"	"515000"	"179000"
"2924"	"NZ37502390"	"437500"	"523900"
"2043"	"SU97406330"	"497400"	"163300"
"2044"	"TQ30905670"	"530900"	"156700"
"1435"	"TQ60401230"	"560400"	"112300"
